id,date,source,headline,content,crypto,topic,sentiment,confidence,impact_score
1,2026-03-01,CoinDesk,Bitcoin gains momentum after positive inflows,Institutional investors increase BTC exposure driving bullish sentiment,BTC,market,2,0.92,9
2,2026-03-02,CoinTelegraph,Ethereum upgrade boosts scalability,Network improvements lead to faster transactions on ETH,ETH,technology,2,0.90,8
3,2026-03-03,Reuters,Solana ecosystem expands rapidly,New projects increase adoption of SOL network,SOL,adoption,2,0.88,8
4,2026-03-04,Bloomberg,Cardano sees rising developer interest,More developers join ADA ecosystem for dApp creation,ADA,development,2,0.86,7
5,2026-03-05,CoinDesk,Stable growth observed in crypto market,Market shows steady upward movement without volatility,BTC,market,1,0.80,6
6,2026-03-06,CoinTelegraph,Bitcoin breaks resistance level,BTC crosses key price barrier attracting buyers,BTC,market,2,0.94,9
7,2026-03-07,Reuters,ETH adoption increases in DeFi,Ethereum used widely in decentralized finance apps,ETH,defi,2,0.89,8
8,2026-03-08,Bloomberg,Positive sentiment rises in crypto community,Social media shows bullish outlook across assets,BTC,sentiment,2,0.85,7
9,2026-03-09,CoinDesk,New blockchain partnerships announced,Companies collaborate to improve crypto infrastructure,SOL,adoption,2,0.87,8
10,2026-03-10,CoinTelegraph,Market recovery strengthens investor confidence,Crypto prices rebound after recent dip,BTC,market,2,0.91,9
11,2026-03-11,Reuters,Institutional adoption increases steadily,Banks explore crypto integration solutions,BTC,adoption,2,0.88,8
12,2026-03-12,Bloomberg,ETH gas fees decrease significantly,Lower transaction costs improve usability,ETH,technology,2,0.90,7
13,2026-03-13,CoinDesk,Bitcoin ETF rumors boost optimism,Speculation drives positive trading behavior,BTC,market,2,0.93,9
14,2026-03-14,CoinTelegraph,Altcoin rally observed across market,Multiple tokens show strong upward movement,ADA,market,2,0.86,8
15,2026-03-15,Reuters,DeFi adoption reaches new highs,More users participate in decentralized finance,ETH,defi,2,0.88,8
16,2026-03-16,Bloomberg,Positive regulatory clarity expected,Market reacts well to upcoming policy updates,BTC,regulation,2,0.84,7
17,2026-03-17,CoinDesk,Blockchain innovation drives optimism,New technologies enhance ecosystem growth,SOL,technology,2,0.87,8
18,2026-03-18,CoinTelegraph,Bitcoin mining efficiency improves,New hardware reduces energy consumption,BTC,technology,2,0.89,8
19,2026-03-19,Reuters,Market sentiment turns bullish again,Investors regain confidence in crypto assets,BTC,sentiment,2,0.91,9
20,2026-03-20,Bloomberg,ETH ecosystem shows strong growth,Developer activity increases significantly,ETH,development,2,0.88,8
21,2026-03-21,CoinDesk,Solana transactions hit record high,Network usage reaches new peak,SOL,market,2,0.92,9
22,2026-03-22,CoinTelegraph,Cardano sees strong community support,User engagement increases across platform,ADA,adoption,2,0.85,7
23,2026-03-23,Reuters,Bitcoin demand rises globally,Global interest in BTC increases sharply,BTC,market,2,0.93,9
24,2026-03-24,Bloomberg,DeFi innovation accelerates growth,New protocols improve financial accessibility,ETH,defi,2,0.87,8
25,2026-03-25,CoinDesk,Crypto market enters bullish phase,Overall upward trend continues,BTC,market,2,0.90,8
26,2026-03-26,CoinTelegraph,Institutional confidence strengthens,Large funds increase crypto holdings,BTC,adoption,2,0.91,9
27,2026-03-27,Reuters,ETH scalability solutions succeed,Layer 2 improvements enhance performance,ETH,technology,2,0.88,8
28,2026-03-28,Bloomberg,Positive outlook for blockchain sector,Industry shows strong growth potential,SOL,market,2,0.86,8
29,2026-03-29,CoinDesk,Bitcoin rally continues steadily,Price maintains upward trajectory,BTC,market,2,0.92,9
30,2026-03-30,CoinTelegraph,Market optimism increases further,Investors expect continued growth,BTC,sentiment,2,0.90,8
